Target	Feature Type	Feature	Phenotype	Model	N	Beta Or Group Effect	P value	FDR q value	Interpretation
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MSK8	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	4.31194428603227	0.353282861624333	0.567545757092049	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_F3PTB8	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-3.13591758411116	0.353496132725929	0.567545757092049	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0NNA1	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	12.8280909542251	0.354108298897494	0.567545757092049	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MXM4	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	8.95857479283715	0.354589254099025	0.567545757092049	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MX43	k_PFOS_MP26	log1p_feature_cpm ~ k_PFOS_MP26 + Age + Sex + BMI + SequencingBatch	46.0	-5.8512260116689	0.354716098182531	0.567545757092049	not_significant
HUMAnN_pathways_prevalence10	Pathway	PWY-5100: pyruvate fermentation to acetate and lactate II	PFHpS	log1p_feature_cpm ~ PFHpS + Age + Sex + BMI + SequencingBatch	46.0	0.426969278411586	0.00123152974121915	0.56773521070203	nominal_exploratory
HUMAnN_pathways_prevalence10	Pathway	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	ExposureGroup	log1p_feature_cpm ~ ExposureGroup + Age + Sex + BMI + SequencingBatch	64.0		0.145404736300129	0.568064266392877	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A1V5WL50	k_PFOS_MP1	log1p_feature_cpm ~ k_PFOS_MP1 + Age + Sex + BMI + SequencingBatch	46.0	7.80273730722258	0.186828221642044	0.568343972393553	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_K1RD35	k_PFOS_MP1	log1p_feature_cpm ~ k_PFOS_MP1 + Age + Sex + BMI + SequencingBatch	46.0	5.94132165095273	0.186985166917479	0.568343972393553	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MW43	k_PFOS_MP345	log1p_feature_cpm ~ k_PFOS_MP345 + Age + Sex + BMI + SequencingBatch	46.0	11.5363980982058	0.319049296594855	0.568715323698494	not_significant
HUMAnN_pathways_prevalence10	Pathway	PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	PFUnDA	log1p_feature_cpm ~ PFUnDA + Age + Sex + BMI + SequencingBatch	46.0	-1.44448744939533	0.0382536410439775	0.568868661976568	nominal_exploratory
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_R6WR30	k_PFOA	log1p_feature_cpm ~ k_PFOA + Age + Sex + BMI + SequencingBatch	46.0	-5.50720300519383	0.272961284704325	0.568983221283891	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_UPI000D199034	k_PFOA	log1p_feature_cpm ~ k_PFOA + Age + Sex + BMI + SequencingBatch	46.0	-0.268956371022298	0.273430292024784	0.568983221283891	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A3E5E9P4	k_PFOA	log1p_feature_cpm ~ k_PFOA + Age + Sex + BMI + SequencingBatch	46.0	-18.4794929001063	0.273680929437552	0.568983221283891	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A396E3U6	k_LPFOS	log1p_feature_cpm ~ k_LPFOS + Age + Sex + BMI + SequencingBatch	46.0	18.7667658397248	0.318615915318262	0.569061172192353	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_I8ZBQ1	k_LPFOS	log1p_feature_cpm ~ k_LPFOS + Age + Sex + BMI + SequencingBatch	46.0	21.3610070518188	0.319082460504511	0.569061172192353	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A380YLU2	k_LPFOS	log1p_feature_cpm ~ k_LPFOS + Age + Sex + BMI + SequencingBatch	46.0	7.18536529529356	0.31924331759991	0.569061172192353	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A015Q0A6	k_PFHxS	log1p_feature_cpm ~ k_PFHxS + Age + Sex + BMI + SequencingBatch	46.0	15.5934945094723	0.275016675276734	0.569392702436302	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_I9IGS0	k_PFOS_MP345	log1p_feature_cpm ~ k_PFOS_MP345 + Age + Sex + BMI + SequencingBatch	46.0	-22.0183848079035	0.320578937866031	0.569420360169663	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_C3R499	k_PFOS_MP345	log1p_feature_cpm ~ k_PFOS_MP345 + Age + Sex + BMI + SequencingBatch	46.0	-22.2389686677078	0.321025635785497	0.569420360169663	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_B0MYZ3	k_PFOS_MP345	log1p_feature_cpm ~ k_PFOS_MP345 + Age + Sex + BMI + SequencingBatch	46.0	8.24811920516223	0.32115308313569	0.569420360169663	not_significant
HUMAnN_gene_families_top1000_variable	GeneFamily	UniRef50_A0A1V5WX14	k_PFHpS	log1p_feature_cpm ~ k_PFHpS + Age + Sex + BMI + SequencingBatch	46.0	-6.93033261290366	0.283808612313528	0.569896811874553	not_significant
